text_column,label_column,processed_text,numeric_label
"warung ini dimiliki oleh pengusaha pabrik tahu yang sudah puluhan tahun terkenal membuat tahu putih di bandung . tahu berkualitas , dipadu keahlian memasak , dipadu kretivitas , jadilah warung yang menyajikan menu utama berbahan tahu , ditambah menu umum lain seperti ayam . semuanya selera indonesia . harga cukup terjangkau . jangan lewatkan tahu bletoka nya , tidak kalah dengan yang asli dari tegal !",positive,"['warung', 'milik', 'usaha', 'pabrik', 'puluh', 'kenal', 'putih', 'bandung', 'kualitas', 'padu', 'ahli', 'masak', 'padu', 'kretivitas', 'warung', 'saji', 'menu', 'utama', 'bahan', 'menu', 'ayam', 'selera', 'indonesia', 'harga', 'jangkau', 'bletoka', 'tidak_kalah', 'asli', 'tegal']",2
mohon ulama lurus dan k212 mmbri hujjah partai apa yang harus diwlh agar suara islam tidak pecah-pecah,neutral,"['mohon', 'ulama', 'lurus', 'k212', 'mmbri', 'hujjah', 'partai', 'diwlh', 'suara', 'islam', 'tidak_pecah', 'pecah']",1
"lokasi strategis di jalan sumatera bandung . tempat nya nyaman terutama sofa di lantai 2 . paella nya enak , sangat pas dimakan dengan minum bir dingin . appetiser nya juga enak-enak .",positive,"['lokasi', 'strategis', 'jalan', 'sumatera', 'bandung', 'nyaman', 'utama', 'sofa', 'lantai', '2', 'paella', 'enak', 'pas', 'makan', 'minum', 'bir', 'dingin', 'appetiser', 'enak', 'enak']",2
betapa bahagia nya diri ini saat unboxing paket dan barang nya bagus ! menetapkan beli lagi !,positive,"['betapa', 'bahagia', 'unboxing', 'paket', 'barang', 'bagus', 'beli']",2
"duh . jadi mahasiswa jangan sombong dong . kasih kartu kuning segala . belajar dulu yang baik , tidak usahlah ikut-ikut politik . nanti sudah selesai kuliah nya mau ikut politik juga tidak telat . dasar mahasiswa .",negative,"['duh', 'mahasiswa', 'sombong', 'kasih', 'kartu', 'kuning', 'ajar', 'baik', 'tidak_usah', 'politik', 'selesai', 'kuliah', 'politik', 'tidak_telat', 'dasar', 'mahasiswa']",0
"makanan beragam , harga makanan di food stall akan ditambahkan 10 % lagi di kasir , suasana ramai dan perlu perhatian untuk mendapatkan parkir dan tempat duduk .",positive,"['makan', 'agam', 'harga', 'makan', 'food', 'stall', '10', 'kasir', 'suasana', 'ramai', 'perhati', 'parkir', 'duduk']",2
pakai kartu kredit bca tidak untung malah rugi besar,negative,"['pakai', 'kartu', 'kredit', 'bca', 'tidak_untung', 'rugi']",0
"tempat unik , bagus buat foto , makanan enak , pegawai ramah , bersih dan luas , wifi kencang . harga standar dan sesuai dengan tempat nya . ada menu masakan makanan barat dan indonesia . menu favorit lychee mojito dan spagheti",positive,"['unik', 'bagus', 'foto', 'makan', 'enak', 'pegawai', 'ramah', 'bersih', 'luas', 'wifi', 'kencang', 'harga', 'standar', 'sesuai', 'menu', 'masakan', 'makan', 'barat', 'indonesia', 'menu', 'favorit', 'lychee', 'mojito', 'spagheti']",2
"saya bersama keluarga baru saja menikmati pengalaman kuliner yang menyenangkan di rm sari sunda di jalan . setiabudhi , bandung . tapi , karena tidak ada hubungan untuk rm sari sunda di jalan . setiabudhi , maka saya tuliskan di sini . jadi , maaf jika rekan-rekan pembaca ada yang bingung . beberapa hal yang saya suka dari restoran ini adalah bahwa pelayanan restoran ini terbilang cepat .",positive,"['keluarga', 'nikmat', 'alam', 'kuliner', 'senang', 'rm', 'sari', 'sunda', 'jalan', 'setiabudhi', 'bandung', 'tidak_ada', 'hubung', 'rm', 'sari', 'sunda', 'jalan', 'setiabudhi', 'tulis', 'maaf', 'rekan', 'rekan', 'baca', 'bingung', 'suka', 'restoran', 'layan', 'restoran', 'bilang', 'cepat']",2
bersyukur,positive,['syukur'],2
"simcard indosat inaktiv gara-gara lupa isi pulsa dan kabar nya aktif jika pinda ke pasca bayar , ribet banget",negative,"['simcard', 'indosat', 'inaktiv', 'gara', 'gara', 'lupa', 'isi', 'pulsa', 'kabar', 'aktif', 'pinda', 'pasca', 'bayar', 'ribet', 'banget']",0
sifat iri sering muncul pada orang orang yang tidak punya tujuan hidup,negative,"['sifat', 'iri', 'muncul', 'orang', 'orang', 'tidak_punya', 'tuju', 'hidup']",0
"sekadar menceritakan pengalaman saya pesan steak grilled beef 200 tidak disajikanlah steak 200 tidak tersebut dalam 2 potongan 100 tidak - 100 tidak rasanya tidak buruk , namun kualitas daging nya yang membuat saya enggan memesan menu beef lagi khusus nya sirloin karena lemak nya terlalu banyak untuk ukuran steak namun , masih ada menu-menu lain yang sangat menempel di lidah saya sarankan untuk membeli menu berlabel cheese atau . lanjutan",positive,"['cerita', 'alam', 'pesan', 'steak', 'grilled', 'beef', '200', 'tidak_saji', 'steak', '200', 'tidak_sebut', '2', 'potong', '100', 'tidak_100', 'tidak_rasa', 'tidak_buruk', 'kualitas', 'daging', 'enggan', 'mes', 'menu', 'beef', 'khusus', 'sirloin', 'lemak', 'ukur', 'steak', 'menu', 'menu', 'tempel', 'lidah', 'saran', 'beli', 'menu', 'label', 'cheese']",2
"pengalaman bersama indosat hari ini , semoga tidak terjadi pada pelanggan lain . sempat sampai marah-marah dengan pelayanan pelanggan indosat",negative,"['alam', 'indosat', 'moga', 'tidak_jadi', 'langgan', 'marah', 'marah', 'layan', 'langgan', 'indosat']",0
anak sekarang sulit untuk dinasehati,negative,"['anak', 'sulit', 'nasehat']",0
hanya mengatasi masalah kayak gini saja anies sandi tidak becus . ke mana saja pasukan kebersihan yang begitu banyak jumlah nya ?,negative,"['kayak', 'gin', 'anies', 'sandi', 'tidak_becus', 'pasu', 'bersih']",0
setiap bumn dibentuk dengan uu bukan dibentuk dengan uu .,neutral,"['bumn', 'bentuk', 'uu', 'tidak_bentuk', 'uu']",1
"sehabis puas bermain di trans studio bandung , saya bersama teman sepakat untuk makan ayam kakek di sini . ayam nya selalu enak dan gurih !",positive,"['habis', 'puas', 'main', 'trans', 'studio', 'bandung', 'teman', 'sepakat', 'makan', 'ayam', 'kakek', 'ayam', 'enak', 'gurih']",2
rasa bakso cuanki dan batagor cukup . selalu ramai pengunjung . buka sekitar jam 10 pagi . dari jalan riau menuju jalan a yani ada sisi kiri jalan sekitar jalan anggrek . harga per porsi sekitar rp 14 000 . datanglah lebih awal karena selalu ramai pengunjung,positive,"['bakso', 'cuanki', 'batagor', 'ramai', 'unjung', 'buka', 'jam', '10', 'pagi', 'jalan', 'riau', 'tuju', 'jalan', 'a', 'yani', 'sisi', 'kiri', 'jalan', 'jalan', 'anggrek', 'harga', 'porsi', 'rp', '14', '000', 'ramai', 'unjung']",2
sgwr 2018 beri dampak positif terhadap hobi anak-anak,positive,"['sgwr', '2018', 'dampak', 'positif', 'hadap', 'hobi', 'anak', 'anak']",2
"berada di lembang , pemandangan indah , udara sejuk , penataan resto yang bagus , dilengkapi dengan makanan yang sangat nikmat . pilihan menu beragam dan minuman yang lengkap . lingkungan yang cocok untuk makan berdua dengan pasangan , membawa keluarga ataupun bersama dengan teman . lapangan parkir luas . restoran yang berkonsep terbuka ini membuat udara lembang sangat terasa sejuk nya .",positive,"['lembang', 'pandang', 'indah', 'udara', 'sejuk', 'tata', 'resto', 'bagus', 'lengkap', 'makan', 'nikmat', 'pilih', 'menu', 'agam', 'minum', 'lengkap', 'lingkung', 'cocok', 'makan', 'pasang', 'bawa', 'keluarga', 'teman', 'lapang', 'parkir', 'luas', 'restoran', 'konsep', 'buka', 'udara', 'lembang', 'asa', 'sejuk']",2
